Account, Status, Transaction Date, Posted Date, Card No., Description, Category, Debit, Credit, Card Title, Check No.
"Checking - 9692",Posted,01/31/2024,01/31/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1557.20,,
"Checking - 9692",Posted,01/31/2024,01/31/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 1541 01/29/24 DBMPUCTF  ACE MART GARLAND 410  972-414-7225  TX C#8567",B,170.82,,,
"Checking - 9692",Posted,01/30/2024,01/30/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,413.00,,
"Checking - 9692",Posted,01/30/2024,01/30/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1610.10,,
"Checking - 9692",Posted,01/30/2024,01/30/2024,,"ACH Debit  USATAXPYMT IRS  CCD  270443030212962",B,126.00,,,
"Checking - 9692",Posted,01/30/2024,01/30/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 1221 01/29/24 DBFZJJD0  AMAZON.COM*R07KC8B91  AMZN.COM/BILL WA C#8567",B,128.98,,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,17.00,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,40.00,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,708.00,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1080.40,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1928.95,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1954.10,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,4558.85,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"ACH Debit  ZOTA-Direc ZOTA-Direct DPS  CCD  ST-F4A4S8U0C1W7",B,99.00,,,
"Checking - 9692",Posted,01/29/2024,01/29/2024,,"POS Debit - DDA  POS DEB 1824 01/26/24 06195181  Walmart.com  Walmart.com  Bentonville   AR C#8567",B,61.80,,,
"Checking - 9692",Posted,01/26/2024,01/26/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,333.00,,
"Checking - 9692",Posted,01/26/2024,01/26/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2242.90,,
"Checking - 9692",Posted,01/26/2024,01/26/2024,,"POS Recurring Debit  DBT CRD 1403 01/26/24 DBZDAKLT  OPTIMUM 7705  877-794-2724  NY C#8567",B,71.91,,,
"Checking - 9692",Posted,01/26/2024,01/26/2024,,"CHECK               1532",B,4620.00,,,1532
"Checking - 9692",Posted,01/25/2024,01/25/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,91.00,,
"Checking - 9692",Posted,01/25/2024,01/25/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,1955.15,,
"Checking - 9692",Posted,01/25/2024,01/25/2024,,"CHECK              3035",B,1036.00,,,3035
"Checking - 9692",Posted,01/25/2024,01/25/2024,,"CHECK              3036",B,1087.00,,,3036
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,295.00,,
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2010.10,,
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"ACH Debit  OK TAX PMT OKLAHOMATAXPMTS  CCD  2061241856GNTX",B,486.00,,,
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"CHECK              3030",B,877.00,,,3030
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"CHECK              3032",B,1048.00,,,3032
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"CHECK              3033",B,890.00,,,3033
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"CHECK              3034",B,1063.00,,,3034
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"CHECK              3037",B,878.00,,,3037
"Checking - 9692",Posted,01/24/2024,01/24/2024,,"CHECK              3038",B,1000.00,,,3038
"Checking - 9692",Posted,01/23/2024,01/23/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,508.00,,
"Checking - 9692",Posted,01/23/2024,01/23/2024,,"CHECK               5047",B,7000.00,,,5047
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,78.00,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,110.00,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,130.00,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2235.00,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,3197.65,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,3916.95,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 0011 01/19/24 DB0WT0FP  AMAZON.COM*R06H02C50  AMZN.COM/BILL WA C#8567",B,47.78,,,
"Checking - 9692",Posted,01/22/2024,01/22/2024,,"POS Pre-Authorized Debit - DDA  DBT CRD 1707 01/19/24 DBVXQZSZ  SAMSCLUB.COM  888-746-7726  AR C#8567",B,125.60,,,
"Checking - 9692",Posted,01/19/2024,01/19/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2057.30,,
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,100.00,,
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2630.55,,
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"CHECK               1534",B,6400.00,,,1534
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"CHECK              3023",B,880.00,,,3023
"Checking - 9692",Posted,01/18/2024,01/18/2024,,"CHECK              3027",B,980.00,,,3027
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1894.20,,
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"CHECK              3015",B,590.00,,,3015
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"CHECK              3017",B,645.00,,,3017
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"CHECK              3019",B,622.00,,,3019
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"CHECK              3020",B,798.00,,,3020
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"CHECK              3022",B,746.00,,,3022
"Checking - 9692",Posted,01/17/2024,01/17/2024,,"CHECK              3024",B,666.00,,,3024
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,48.00,,
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,80.00,,
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1265.50,,
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2486.60,,
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,3275.70,,
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"ACH Debit  USATAXPYMT IRS  CCD  270441610976362",B,1170.00,,,
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"CHECK              3014",B,364.00,,,3014
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"CHECK              3021",B,611.00,,,3021
"Checking - 9692",Posted,01/16/2024,01/16/2024,,"CHECK              3026",B,1000.00,,,3026
"Checking - 9692",Posted,01/12/2024,01/12/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,601.00,,
"Checking - 9692",Posted,01/12/2024,01/12/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2151.20,,
"Checking - 9692",Posted,01/12/2024,01/12/2024,,"ACH Debit  UTIL PAYMT OK NATURAL GAS  PPD",B,99.55,,,
"Checking - 9692",Posted,01/12/2024,01/12/2024,,"CHECK              0",B,877.00,,,
"Checking - 9692",Posted,01/12/2024,01/12/2024,,"CHECK              1520",B,1065.00,,,1520
"Checking - 9692",Posted,01/12/2024,01/12/2024,,"CHECK              3001",B,952.00,,,3001
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,120.00,,
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,1317.25,,
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"ACH Debit  CABLE PMNT OPTIMUM 7705  PPD",B,259.46,,,
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"CHECK              1543",B,945.00,,,1543
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"CHECK              3002",B,816.00,,,3002
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"CHECK              3009",B,958.00,,,3009
"Checking - 9692",Posted,01/11/2024,01/11/2024,,"CHECK              3010",B,826.00,,,3010
